Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,Amount,Class
73,1.148186926,0.085837072,0.120702062,1.126664554,0.21471057,0.537381047,-0.04998899,0.186175355,0.111781471,0.046609338,0.507646705,0.869540468,-0.32273584,0.269321773,-0.717472309,-0.313731636,-0.223905205,19.77,0
78,-0.622478372,0.014881395,1.052488736,-1.644573827,-0.538265319,-0.835528209,0.517233526,-1.105962373,-1.311740617,0.577468383,0.8946831,-0.685602969,-1.860225916,0.510701455,-0.452340475,-1.145574937,-0.323949652,104.94,0
81,1.11104797,0.215351844,0.374072564,1.150000653,-0.329767569,-0.898687822,0.309906644,-0.255277291,-0.110655139,-0.057578832,-0.217961497,0.600591209,0.686379565,0.262161286,0.922676979,0.135235272,-0.490174913,68.74,0
83,-1.864989682,0.910873769,1.724862787,-1.748371149,0.578942617,-0.832531161,1.901440328,-1.913986322,2.112375125,3.014354777,2.023987839,-0.481574055,-1.390897387,-1.599749355,0.159606592,-0.056584062,-1.593881833,7.69,0
92,-0.238410956,0.509262765,1.952000704,0.779065948,-0.37894013,0.251136558,-0.072412057,0.228754859,0.210899589,-0.373814134,-0.715860805,-0.046921901,-0.334018212,-0.245975395,0.628314056,-0.78158672,0.536186775,2.99,0
114,1.194066271,-0.072582233,0.635285626,0.768616206,-0.735584338,-0.673465653,-0.146299157,-0.065652615,0.646047714,-0.211574202,-0.757756838,0.131821519,-0.691698421,0.014078327,-0.053359478,-0.144321695,0.047621205,23.88,0
123,-0.505728362,0.66630036,1.08099302,-0.447630349,1.039489596,0.18401665,0.882796991,-0.142339931,-0.608661014,0.038170129,0.307121508,0.719950942,1.422912781,-0.17576666,0.093792259,0.570996629,-1.312472695,40,0
124,-1.710934768,-1.366798712,2.217310673,0.404714451,-0.114375224,-0.075942269,-0.259942733,0.320897252,-0.175355041,-0.478714108,0.759642225,0.475061325,0.122646386,-0.119537851,0.489590181,0.180992375,-0.198955208,230,0
132,-0.394815704,1.054418297,1.206361271,-0.28923239,0.610283924,0.081529341,0.687720988,0.065340718,-0.501623229,-0.387104736,-0.748656331,0.317262072,1.209455161,-0.089114235,1.045811125,0.101501487,-0.479842165,3.87,0
135,1.101762442,-0.119018463,1.139150275,1.844961212,-0.817909156,0.247770075,-0.684181037,0.283095821,0.286762553,0.440946202,-0.826293741,-0.769377782,-1.541032563,0.047904222,0.567886086,0.523959447,-0.044064668,22.37,0
140,1.175477978,0.167881283,0.509908525,0.452332378,-0.215763033,-0.192103789,-0.10540372,0.068516849,-0.249733437,0.053142732,1.737926861,1.253325071,0.419214819,0.422533743,0.560529053,0.197461933,-0.407984599,1.29,0
160,-1.551481611,-1.053346034,0.762805729,1.335129061,-2.58552304,1.942252364,1.646686865,0.641265549,-0.649862121,-0.894433571,0.988291378,0.88242292,1.05786513,0.211819844,1.151374994,0.721920217,-0.580298939,700,0
164,-0.433211486,1.020835125,2.019730198,3.00326068,0.031307656,0.187063045,0.850856483,-0.143932449,-0.918042964,0.886323094,-0.811858292,-0.338453439,-0.064504281,-0.275189337,0.055224685,-0.646152559,0.313931819,65.26,0
205,1.182398882,0.059488688,0.310672612,0.828817335,0.341209078,1.112592947,-0.292777954,0.287394091,0.268307131,-0.087575427,0.151276897,1.315882683,0.93045189,-0.138173545,-0.521815312,0.095149583,-0.626292732,12.99,0
221,-0.342871277,-0.199545805,1.976352578,-0.003494934,-1.170365599,0.883500932,-0.151879286,0.160105718,0.137973356,-0.060121656,-2.201009463,0.852035106,1.478893322,-1.653727065,-2.750145065,-1.814001872,-0.021557592,99.82,0
222,-0.44364031,0.981192772,1.234397173,0.099497167,-0.051269792,-0.92744122,0.862786135,-0.097128282,-0.442318207,-0.556097695,-0.17586303,0.022964412,0.336249776,-0.464505642,0.875372202,0.381508386,-0.00628756,49.99,0
230,-0.420269748,0.814760402,1.513242393,1.292782097,0.138053047,0.223342242,1.08808368,-0.150282357,-0.216385801,0.036197394,-0.489127253,0.181306518,0.083521781,-0.23630839,0.223610259,-1.300535658,0.506323814,79.18,0
241,1.181571969,0.241407903,0.024536924,0.885832028,-0.121471371,-0.275551751,-0.142414303,0.031282555,0.253328447,-0.624588345,1.131631834,1.126151681,0.452170474,-1.517465823,-0.98281116,0.36651166,0.726422221,12.31,0
258,1.130932761,0.178069339,0.533439524,1.478955262,-0.342933189,-0.379986284,0.063252924,-0.022391243,0.312977804,-0.118844723,-0.294393905,0.480791964,-0.484192622,0.145854431,-0.085468494,-0.804316603,0.39991977,13.79,0
259,-1.569485289,-1.932133383,1.249202816,-4.43421128,1.244282139,0.402687982,-0.649554378,0.534755946,0.886183163,-1.275649361,1.52530374,1.28699549,-0.303788262,-0.149255372,0.514473637,-3.133093384,0.47158757,55.45,0
260,1.45590577,-0.928378048,0.353459043,-1.377866551,-1.233133318,-0.600292234,-0.817625523,-0.185506986,-2.053664591,1.362869941,-0.073996705,-0.324252192,1.277704916,-0.378084972,0.678450057,-0.763978915,0.770637036,26.5,0
267,0.992495952,-0.658003087,1.028642552,0.333157076,-1.234309922,-0.322445469,-0.445253089,-0.021940902,1.067243685,-0.529322851,-0.655786828,1.018700178,0.822717545,-0.694579172,-0.378883778,-0.142589557,0.09894836,122.36,0
269,1.32062603,-1.17433822,0.713431142,-2.177940779,-1.511233594,0.059314279,-1.308064064,0.298795701,0.788813964,-0.200098696,0.835250931,0.506267909,-0.892307728,0.083950916,0.871964931,-1.856352559,0.163267546,2.6,0
273,-0.79297044,0.273688003,2.612040285,1.213495051,-0.225014754,-0.594575429,-0.250743985,0.162628107,0.038632593,-0.401649703,-0.485772083,0.156502666,-0.009438656,-0.224336144,0.761460832,-0.22681814,0.002773652,6.51,0
284,-0.942623063,0.657317958,1.191544384,1.326497095,0.97674498,-0.832970032,0.238932868,0.163401503,-0.584980704,-0.789639334,-0.144501037,-1.445161039,-2.115885112,-0.617131929,1.966837316,-0.203704314,1.500691702,1,0
285,-0.931805001,1.52773726,0.818889181,0.056990215,-0.319929644,-1.054736468,0.358789745,0.35407267,-0.392589551,-0.43267709,-0.311277877,0.166120344,0.321497602,-0.210513993,0.857176935,0.479781685,0.159892512,8.99,0
292,1.252189247,-0.1267791,0.280285135,0.57941553,-0.374124541,-0.215216606,-0.193078227,0.011075667,0.770448146,-0.197201332,-1.577764431,-0.377882317,-0.9893818,0.052591617,0.055325179,0.118796031,-0.229318028,23.88,0
293,1.123311065,-0.170142078,0.89877308,1.572445488,-0.727420685,0.226641226,-0.522651385,0.285406758,1.173965438,-0.194914859,-1.19210081,-0.395355037,-2.213834341,0.005351154,-0.485688847,-0.727260384,0.554140338,5,0
294,-1.097476964,1.246235959,0.464854601,-0.178196025,0.24949884,-0.725057559,1.197759773,-0.358584593,-0.153111965,0.383806838,-0.822650574,-0.072847828,0.450498422,0.001620144,0.581122293,-0.01856021,-0.542761272,73,0
309,1.031380762,-0.089444068,0.421362451,0.620874595,0.330241872,1.351988288,-0.28790071,0.41209358,0.313047407,-0.414255784,0.440656268,1.313518637,0.767262485,-0.122085165,0.783837863,-1.587345934,1.184230788,14.6,0
311,1.182238087,-0.14751846,1.248518326,0.862034219,-1.07672806,-0.299690186,-0.614840318,0.064575126,0.907341201,-0.244553773,-0.705757309,0.523097925,0.199032721,-0.437901947,0.18282428,0.155471836,-0.183113546,8.58,0
313,-1.038356228,0.756121842,0.719941776,0.988401807,-0.237289725,-0.378861992,0.413667984,0.436786746,-0.448178491,-0.346581608,-0.786498013,-0.999026789,-1.968015268,1.049901672,1.489075793,-0.372646824,0.350349838,68,0
322,1.187090011,0.008979796,1.094491312,1.22103424,-0.676504311,0.095472645,-0.517634029,0.078168793,0.811484381,-0.22339086,-1.106255049,0.720445311,0.875853068,-0.539473636,0.131132635,0.18728328,-0.471786352,9.99,0
331,1.2201635,0.330421329,0.518020385,0.823178968,-0.680718692,-1.391443264,0.058431285,-0.205429665,0.082093921,-0.26636034,0.312675843,0.108577575,-0.434927117,-0.142860341,1.117223599,0.349959637,0.220439327,0.89,0
335,1.295946298,1.011835459,-3.191859754,0.471478145,3.350240606,2.432783257,0.189552556,0.62173443,-0.556701825,-1.48736112,1.021675958,-0.735201052,-0.33408091,-3.206826973,1.276369486,1.370109106,2.215863058,4.8,0
339,1.20278276,-1.464842334,0.703284108,-1.46252024,-1.462982153,0.495418813,-1.368709004,0.236518932,-1.938471272,1.454746311,1.711156058,0.188523191,0.905905805,-0.309828801,0.609004727,-0.553641586,0.664514348,98,0
353,0.150998914,-3.002119874,0.824301406,0.231721086,-2.621415263,0.128843083,-0.755233269,0.09595558,0.638218706,0.096462297,-1.221419517,-0.993401341,-1.331911432,-0.75366868,-0.565549542,0.934498499,0.805874339,611.76,0
356,1.021392475,0.155450972,-0.312290951,0.961407336,0.548611312,0.12181627,0.525318015,-0.053891261,-0.686867335,0.113058508,1.158622836,1.306475335,0.910990895,0.581981858,0.186329578,0.022028915,-0.608528361,105.87,0
365,-1.20943716,0.949446219,-0.429811066,-2.640093521,2.601386808,3.056965536,0.473494762,0.280729186,0.853043393,1.023892724,0.025354554,-0.386034224,-0.16159745,-0.558824188,0.714131154,0.553552719,-1.393507597,0.68,0
365,-0.456585659,0.541707557,1.331297243,0.559447257,0.18404479,0.612792453,0.632758584,0.152252962,-0.202196268,-0.5106985,-1.363929124,-0.431828044,-0.477288804,0.005566931,0.518554014,-0.784473071,0.425146452,74.22,0
393,-2.595499719,1.311591816,1.323081307,-1.127848902,0.307467369,-0.518201825,-2.098816632,-4.382468958,1.724534556,0.198679922,0.381591794,0.780889732,-0.247810882,0.0469023,2.501394702,-1.432126842,0.732979441,64.04,0
402,-0.160626024,-0.064459272,2.531072429,-1.328267897,-0.970429962,0.1850305,-0.380184274,0.078119057,1.775956234,-1.242314803,-0.36495383,0.435456871,0.03950152,-0.760588289,1.701604126,-1.23341667,0.497776404,0.01,0
403,1.131541305,-0.174361327,0.9926215,0.600032005,-1.021934205,-0.644778975,-0.428619437,-0.032070613,0.516317803,-0.118985161,-0.366030395,0.116521248,0.051908354,0.014390841,1.424916679,0.672573973,-0.563922581,52.4,0
406,-2.312226542,1.951992011,-1.609850732,3.997905588,-0.522187865,-1.426545319,-2.537387306,1.391657248,-2.770089277,-2.772272145,3.202033207,-2.899907388,-0.595221881,-4.289253782,0.38972412,-1.14074718,-2.830055675,0,1
413,-1.581221828,0.391512135,1.916332865,-0.087840074,-0.421409692,0.270446937,-0.135965748,0.231828286,0.377200639,0.381819763,1.305813346,0.201177186,-0.761977697,-0.067130048,0.946419994,0.524254248,-0.577973505,30,0
414,-0.376162266,0.460564985,1.686272992,1.30037893,0.192392512,0.205984515,0.55436679,0.095976987,-0.210761006,0.143518094,0.969152548,-0.299821115,-2.401077746,0.480956261,-0.247237245,-1.058838372,0.470259235,29.99,0
417,-0.473730525,0.697340217,2.279599507,1.359875086,0.34242916,1.392885633,0.289971173,0.170677021,0.578965557,-0.276892899,-1.577494635,1.009164694,1.303964102,-1.350592295,-1.415533732,-1.55708136,0.672507645,8.61,0
427,0.823787878,-0.90293787,0.107280278,0.384450769,-0.790004777,-0.431548625,0.114446844,-0.124467348,0.706185473,-0.384983592,-1.131253792,0.000949819,-0.488193049,-0.002213075,0.032372688,0.036773355,-0.054470416,246.96,0
427,1.031076262,-0.455232992,1.561884491,1.562478535,-0.93012702,1.407877534,-1.148563277,0.62670233,1.465479945,-0.245997989,0.096603876,1.195629699,-0.768874996,-0.72877717,-2.027927632,-0.554018199,0.283586474,10,0
430,1.331282331,-0.460775041,0.201621104,-0.582847533,-0.81535767,-0.863856547,-0.272425285,-0.228813916,-1.194788866,0.710580257,1.571596524,0.833851266,0.95213481,-0.198454513,-1.062829114,0.613136796,0.385393201,30,0
472,-3.043540624,-3.157307121,1.08846278,2.288643618,1.35980513,-1.064822523,0.325574266,-0.067793653,-0.270952836,-0.838586565,-0.414575448,-0.50314086,0.676501545,-1.692028933,2.000634839,0.666779696,0.599717414,529,1
477,-0.347239992,1.140217971,1.28906647,0.061069658,0.03251417,-0.960933237,0.756414763,-0.091272834,-0.43972701,-0.525814954,-0.16850987,0.064780893,0.397228285,-0.484435751,0.86395074,0.37236818,-0.009786677,9.51,0
479,-2.441347925,1.688816184,0.639921516,-0.776735225,-0.30587548,0.491953937,-1.354830269,-3.210163802,0.086985557,-0.34752777,0.85616873,0.88782456,-1.212896795,0.761376885,-0.739470202,0.112565349,0.276850842,1,0
484,-0.928087753,0.39819407,1.74113125,0.182672744,0.966386863,-0.901003797,0.879016073,-0.156589871,-0.142117461,-0.57477527,-0.478181307,-0.426852484,-1.493425843,0.187920732,-0.282355216,-0.648149999,-0.019449062,1,0
503,0.860544593,-0.747804385,-0.955150631,-1.124055538,0.186536255,-0.385942163,0.703442955,-0.282689455,0.482599987,-0.935486338,0.655059179,1.618951052,1.38109369,0.509031304,0.724308923,-0.143893963,-0.912888945,268.93,0
513,0.166862234,1.667709184,-2.095558662,1.835206043,0.876544698,-1.481720551,-0.323575309,-2.866381524,-0.573338456,-1.838309835,0.473700797,-0.860334859,-1.247989675,-2.921127892,1.105823277,1.0635578,3.006908567,1,0
532,-2.081263855,1.682558329,0.6512638,-0.533548658,0.440529215,-0.11373236,0.875113877,-0.149852238,1.077603074,2.230301222,1.7244687,0.311639406,-0.252562578,-1.101902552,0.706008442,0.121038721,-0.356188625,17.99,0
532,-0.681072116,0.926830782,1.871161421,0.923396724,-0.438214643,0.110162582,0.918258554,-0.222899403,-0.040360102,0.239503151,1.039842233,0.386524122,-0.983549025,-0.061619869,-0.602061727,-0.580104457,-0.077507839,75.17,0
541,-0.623524828,0.176954715,2.565715189,1.544279971,0.109686401,0.055218068,0.259801476,-0.192565686,-0.320105677,0.869785809,1.17067219,0.490575235,0.427361172,-0.660373551,-0.377799104,1.405789618,-1.667260357,67.1,0
548,-2.565417473,1.285935597,1.446036468,0.685430493,0.49679696,0.970669195,-1.994767269,-5.916807634,0.893286676,0.911375184,-1.061297979,0.245055522,0.734203808,-0.549400245,1.54732152,0.401650146,-0.563612056,41.96,0
558,-0.439880215,0.630450501,1.942590731,-0.798746628,0.261324547,-0.617938632,1.224288085,-0.844640653,0.211259338,0.263396921,0.504980366,0.041331099,0.317095641,-0.64158957,1.219668195,-0.537746854,-0.245160887,17.68,0
561,-0.711796999,-0.983416038,2.042489956,-2.348505393,-1.670332779,-0.407697243,-0.243284569,0.098952246,-2.324725166,0.787728509,0.953107031,-0.881548833,-0.379009546,-0.311722737,-0.443371685,0.207979298,-0.018227189,149.9,0
564,0.186117641,-0.159357905,-1.389222458,-2.433996467,1.753377824,3.593082087,-1.582164538,-1.903514335,-1.314804967,-0.327551053,-0.524536564,-0.459615719,-0.360896356,0.357503038,-0.745138859,1.302088079,-0.084053063,48,0
569,-0.461787766,0.44320509,1.805630196,-1.154089988,0.159950498,-0.47207386,0.649424848,-0.10082337,-0.220588142,-0.413928076,0.879423322,0.055164543,-0.690801569,0.099161308,-0.002886661,0.815666833,-1.058484991,15.25,0
580,1.267030288,-0.071113542,0.037680489,0.512683226,0.242391583,0.705212477,-0.226581594,0.109482807,0.657564537,-0.276917772,-1.731615029,0.353942246,0.640629838,-0.354726378,-0.075235937,-0.241936026,-0.178459086,12.36,0
589,1.245658365,0.465419871,0.219100261,1.351276508,-0.047653537,-0.828625792,0.40043392,-0.309240236,-0.143430661,-0.041650415,-0.418247938,1.005823801,1.17466766,-0.010794728,-0.15377218,-0.437974689,-0.186802051,1,0
604,-0.931571905,0.614814101,1.874486936,0.536464995,0.832747706,0.411702374,0.718649987,0.043472821,-0.362946375,-0.161027326,0.702836542,0.275486368,-0.976817522,0.047786938,-0.78501498,-0.627477485,-0.111024574,10.8,0
608,-4.13021888,3.794248877,-1.928831463,0.048061078,-2.532345505,-1.469960504,-1.866922333,3.00783529,-0.332470711,-0.215928987,-1.210312238,0.776462417,-0.058093587,1.485660827,0.786827563,1.151754171,1.168682956,11.97,0
614,1.39541975,-0.26913937,-0.071822008,-0.247354072,-0.554783754,-0.902045592,-0.071149126,-0.257163273,-1.08281027,0.756010709,-0.97325656,-0.475021352,-0.162096991,0.391369192,0.749378487,-1.25063544,-0.159661386,21.5,0
630,-0.986718938,1.193046278,0.687745312,-0.593925497,-0.557397894,0.840298903,-0.975619878,-3.851488051,0.17995821,-0.303256755,1.308539356,1.431413102,-0.234048162,0.390703754,-0.681494682,0.080044059,0.007122303,79,0
630,1.315818361,0.407945336,-0.023868457,0.486155277,0.131546368,-0.567519245,0.140781014,-0.210137949,-0.069966845,-0.312563716,-0.636850655,0.519824601,1.429553565,-0.548093226,1.039442038,0.673844965,-0.370859306,1.98,0
636,0.958429756,-0.297040504,0.395138327,0.532289082,0.237415085,1.644747715,-0.473592395,0.64102468,0.280227264,-0.207948778,1.88422332,1.200012295,-0.826310346,0.378758075,0.250851576,-1.318857439,1.021241023,29.48,0
650,-0.440731935,1.032814929,1.367831762,-0.055192255,0.156300647,-0.301037924,0.539670956,0.203222126,-0.660624963,-0.386647316,1.875771666,0.715427629,-0.107632179,-0.17521974,0.439723452,0.231663439,0.11466097,4.95,0
661,0.944905088,-0.279692153,0.685834275,1.604164518,-0.720879554,-0.161474036,-0.13189055,0.104026076,0.702421432,-0.171454671,-0.569448684,-0.025443638,-1.479683366,0.175092343,-0.05108422,-0.691227088,0.467247705,99,0
665,1.270834675,-0.839492902,0.407856972,-0.388278583,-1.279812534,-0.829868455,-0.549669934,-0.116525007,-0.26482398,0.497761234,-0.804244951,-0.982872983,-1.170211948,-0.20935933,-0.347252737,0.642939164,0.75074171,73,0
668,-0.274618752,0.705397583,1.875760702,0.301979465,0.042833588,-0.620503779,0.632179676,-0.161393815,-0.621576321,0.086474313,1.480009417,0.229828522,-0.713825254,0.376154125,0.56790163,0.018946414,-0.397456,1.98,0
670,-1.160186751,0.759387396,1.431249526,-0.311891061,0.87767863,-0.259953908,1.90030378,-1.356093338,0.86825623,1.763918873,1.187340879,-0.401495923,-1.098488989,-0.809744752,-0.037668683,0.078876932,-1.598424914,57.7,0
685,1.110097601,0.04793202,1.096085967,1.619316719,-0.639999374,0.1033909,-0.336889249,0.1114126,0.74121401,-0.273233975,-0.438118783,1.155232137,0.442193562,-0.516095277,-0.807750028,-0.950050036,0.517321808,1,0
699,-0.312138149,0.50515076,1.14214184,-1.044566562,-0.61483667,0.099766479,-1.145453265,-2.421417237,-0.291526997,-1.167562372,1.493843392,0.738857799,-1.273922702,0.939399004,0.207501805,0.783363756,-0.416118944,15.38,0
722,1.189777189,-0.922777382,0.309246148,-0.823732453,-0.953511567,-0.066068681,-0.756295372,0.195649918,-0.743775044,0.746913557,1.13354055,-0.811164715,-1.632136211,0.412450371,0.564302578,1.317345473,0.240314313,87.47,0
735,-1.247322959,0.672031527,3.53652732,3.293508756,-0.796919012,1.831509598,-0.913056246,0.497590882,0.440542921,0.546139823,-1.282034731,0.421281556,0.492437346,-1.502521487,-0.868685032,-0.99343913,0.968648548,15.15,0
750,1.17861006,0.203177363,0.584158771,0.712157892,-0.507372747,-0.872610587,0.057068504,-0.119320902,-2.16E-05,-0.098497827,0.416304574,0.504706924,-0.037686476,0.369460719,1.160924476,-0.236036246,0.107774406,5.91,0
750,-1.615438721,0.403427878,1.988101292,-3.421194859,0.213596317,-0.071615964,0.543998295,0.00486179,1.15027303,-1.174175204,1.926806906,1.224527059,-0.022265867,-0.276405396,0.672794319,-0.136369984,-0.72690034,15.37,0
751,1.284611912,0.303072684,-0.067908788,0.930684399,0.117387094,-0.48700501,0.204739177,-0.174872536,0.058270332,0.015464539,-1.165292404,-0.155797459,0.018859395,0.366394105,0.996123133,0.300770632,-0.723470547,14.05,0
752,-2.101171491,-0.227365439,1.624668104,-0.291122571,1.902446184,-1.483921032,-0.275117015,0.085964137,-0.56309774,-0.37602403,1.232299253,0.834265498,0.523792388,-0.389664422,-0.090364326,0.900605108,-0.612590406,1.78,0
756,1.22590198,0.239666751,0.170020554,0.508587452,-0.2028274,-0.567680402,-0.051292626,-0.007249598,-0.126287769,-0.100620451,1.245416825,0.537352788,-0.318864721,-0.006300152,0.475601683,0.797413693,-0.347541275,7.28,0
784,-2.256834363,0.766019426,1.47203477,-1.233968547,-0.56845182,1.182651723,-1.027464748,-5.9518143,-0.11078689,-0.851938591,1.828851532,1.397458859,0.34082184,-0.105555526,0.118216251,0.70776678,-0.798988159,203.83,0
813,-4.066951838,-4.016669087,3.028877125,1.311633617,3.966971828,-2.344457055,-2.98798318,0.838260627,0.262656403,-0.442489365,1.084537441,1.426486529,0.071229435,-0.101677589,-0.679649009,-0.070673544,-0.262114522,9.99,0
817,1.138436236,-0.363657607,1.172232796,0.834377132,-1.097949375,0.114876277,-0.852064308,0.336239682,1.257870283,-0.21972342,-0.883700926,-0.635830275,-2.15984529,0.055787084,0.691338011,-0.02724352,0.228790341,8.04,0
823,-1.060118941,0.697024798,0.523657475,-0.270606566,-0.367703278,-0.627989062,1.188259984,0.093291611,0.027599376,-0.477585592,-0.533336155,-0.22788752,-1.202124506,0.338095645,-0.324453437,-0.443187722,0.174473804,128.68,0
834,0.956247977,-0.639957149,1.479889008,0.960273509,-1.187182225,0.808972271,-0.967921237,0.426319319,1.194296691,-0.327121991,0.924928657,1.710045761,0.124340639,-0.744380364,-1.688951411,-0.602704883,0.395545058,59,0
854,-0.702358228,0.547789019,1.959635921,1.006626909,0.710589147,-0.050153732,0.577877892,-0.035782848,-0.491689604,-0.028616719,0.531447828,0.178508161,-0.893519969,0.105987905,-0.673169759,-0.57850617,-0.137981899,2.34,0
862,1.208498423,0.570566972,0.0430931,1.244182243,0.178013652,-0.861349108,0.561900324,-0.298842358,-0.542087608,0.023788435,0.333986731,0.996386509,1.06777303,0.380016722,0.744107545,-0.617218798,0.004715798,1,0
869,-0.603568897,0.929801186,0.981950317,1.043635727,1.014268308,-1.090712213,0.81140847,-0.409025963,-0.324543218,0.078854346,1.915450593,-0.325821205,-1.157742003,-1.460964942,0.674053214,0.220930617,0.798288419,1,0
884,-0.386253571,1.011132368,1.284207587,0.086669317,0.029333157,-1.049492014,0.606984458,-0.023827569,-0.274317387,-0.481409093,-0.340558964,-0.475329643,-0.6366796,-0.275938041,0.979185313,0.415741657,0.0533394,1.29,0
904,1.177106851,-0.877196592,0.334956739,-0.505469383,-0.999291588,-0.214330828,-0.590594692,0.085635642,-0.68464161,0.625526604,1.3635109,0.077239037,-0.877090871,-0.007839906,-0.940098162,0.357818122,0.86720745,75.13,0
925,-0.839014457,0.932908591,-0.189815285,-0.858152291,2.980445676,3.53682721,-0.24688601,0.190391399,-0.100620864,-0.332547646,-0.81334076,0.050623256,-0.424179979,0.078717008,-0.843482446,0.043430563,-0.701277443,8.99,0
939,-0.334478696,0.226389744,1.970052303,1.81323487,-0.308007427,-0.046253271,0.12670224,-0.20398888,0.31672684,0.242608185,-0.681783924,0.148725099,0.356839673,-0.576138322,0.771808131,-0.886088105,0.274149904,64.5,0
952,-1.463627699,1.427938953,-1.054366079,0.157512327,1.496309751,4.055650643,0.048951999,1.447000583,-0.29945826,0.223992996,-0.769461791,0.080954837,-0.094783581,0.39929088,0.166633879,-0.425592603,0.041912153,113.59,0
956,0.441686313,-1.210291127,-0.304713539,0.198863892,-0.068252284,0.832657963,0.338045887,0.172037489,0.161676313,-0.612637554,0.857524375,1.073051119,0.335666053,0.280399387,1.19974698,-1.674451459,1.379776455,343,0
963,-0.648844216,1.172893772,0.940057939,-0.487177246,0.726666638,0.356873983,0.329655457,-0.670178269,-0.635306007,-0.091040678,0.243847068,0.779529952,1.147159825,0.089138798,0.126709496,0.752911177,-1.130748297,4.49,0
965,-0.345716652,0.939603428,1.631607302,1.13625983,0.369677528,0.419301127,0.720183219,0.033666583,-0.406308233,0.277029631,1.162334392,0.744357694,-0.285305615,0.007209704,-0.452583717,-1.106492429,0.276574908,7.62,0
1005,1.092196805,-0.25053674,0.771269454,1.382028827,-0.511763601,0.749624907,-0.627241778,0.455098623,0.939210882,-0.027870275,0.207831877,0.172459109,-2.261015228,0.18756985,-1.158085125,-0.432396338,0.184536866,11,0
1022,0.863703241,-0.642934081,1.91929896,1.944591648,-1.540738021,0.686990251,-1.008944291,0.421117566,1.697493501,-0.460905223,-0.813248184,0.905497534,-0.567144668,-0.960875722,-1.346743258,-0.945767958,0.804058103,84.4,0
1022,-1.837618361,0.274206938,0.014412868,-0.589063455,-0.642114047,0.320030688,0.423555484,0.932500707,-0.228442576,-1.167003577,-0.746476542,-0.024636952,-1.367616914,0.816854008,-1.209535603,0.734554783,-0.425923815,158,0
1029,1.309487004,0.193408398,-0.330400712,0.325057886,0.407287434,0.174884862,-0.087960304,0.081273575,0.276571999,-0.295643259,-1.268450777,-0.675559653,-0.551816448,-0.143319729,1.558454389,0.641635866,-0.178619836,2.58,0
1041,1.256812842,0.649891457,-0.310299712,0.90538888,-0.054355365,-1.585495906,0.441332333,-0.370409271,-0.266421125,-0.614024998,0.500160452,0.328906217,0.453105009,-1.10731082,0.851270833,0.336521339,0.901722885,0.76,0
1047,-0.373105279,1.073327227,1.288597022,0.074710601,0.052444092,-1.008570702,0.680016634,-0.062223518,-0.371528843,-0.505335451,-0.239423103,-0.150077799,-0.015211771,-0.400583308,0.9107513,0.389658544,0.015066861,4.99,0
